enum||input||answer||estimate||correct
32||Can you find me a college with college nearby?||[SEARCHFROM:COLLEGEWHERE:NEARBYWITH:COLLEGE]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:COLLEGE]||X
33||Can you find me a gas station with gas station nearby?||[SEARCHFROM:GASSTATIONWHERE:NEARBYWITH:GASSTATION]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
34||Can you find me a park with park nearby?||[SEARCHFROM:PARKWHERE:NEARBYWITH:PARK]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
35||Can you find me a department store with department store nearby?||[SEARCHFROM:DEPARTMENTSTOREWHERE:NEARBYWITH:DEPARTMENTSTORE]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
36||Can you find me a restaurent with restaurent nearby?||[SEARCHFROM:RESTAURENTWHERE:NEARBYWITH:RESTAURENT]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
37||Can you find me a indoor parking with indoor parking nearby?||[SEARCHFROM:INDOORPARKINGWHERE:NEARBYWITH:INDOORPARKING]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:PARKING]||X
38||Can you find me a outdoor parking with outdoor parking nearby?||[SEARCHFROM:OUTDOORPARKINGWHERE:NEARBYWITH:OUTDOORPARKING]||[SEARCHONEFROM:PARKINGWHERE:PARKINGRANGE:500MWITH:[SORTPRICEASC]]||X
39||Can you find me a my destination with my destination nearby?||[SEARCHFROM:MYDESTINATIONWHERE:NEARBYWITH:MYDESTINATION]||[SEARCHFROM:SCHOOLWHERE:NEARBYWITH:SOMETHING1]||X
40||Find a burger king along route.||[SEARCHONEFROM:BURGERKINGWHERE:ALONGROUTE]||[SEARCHONEFROM:BURGERKINGWITH:SOMETHING2WITH:ROUTE]||X
41||Find a burgerking along route.||[SEARCHONEFROM:BURGERKINGWHERE:ALONGROUTE]||[SEARCHONEFROM:BURGERKINGWITH:SOMETHING2WITH:ROUTE]||X
42||Find a restroom along route.||[SEARCHONEFROM:RESTROOMWHERE:ALONGROUTE]||[SEARCHONEFROM:RESTROOMWHERE:ROUTE]||X
43||Find a restroom facility along route.||[SEARCHONEFROM:RESTROOMFACILITYWHERE:ALONGROUTE]||[SEARCHONEFROM:RESTROOMFACILITYWHERE:ROUTE]||X
44||Find a super market along route.||[SEARCHONEFROM:SUPERMARKETWHERE:ALONGROUTE]||[SEARCHONEFROM:ROUTEWHERE:PLACE2]||X
45||Find a supermarket along route.||[SEARCHONEFROM:SUPERMARKETWHERE:ALONGROUTE]||[SEARCHONEFROM:SUPERMARKETWHERE:ROUTE]||X
46||Find a school along route.||[SEARCHONEFROM:SCHOOLWHERE:ALONGROUTE]||[SEARCHONEFROM:ROUTEWHERE:PLACE2]||X
47||Find a starbucks along route.||[SEARCHONEFROM:STARBUCKSWHERE:ALONGROUTE]||[SEARCHONEFROM:STARBUCKSWHERE:ROUTE]||X
48||Find a coffee shop along route.||[SEARCHONEFROM:COFFEESHOPWHERE:ALONGROUTE]||[SEARCHONEFROM:COFFEESHOPWHERE:ROUTE]||X
49||Find a cafe along route.||[SEARCHONEFROM:CAFEWHERE:ALONGROUTE]||[SEARCHONEFROM:CAFEWHERE:ROUTE]||X
